Title,URL,Description,Best Rating,Worst Rating,Rating,Genre,Duration
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",10,1,8.3,"Drama, Romance, Sci-Fi",PT1H48M
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",10,1,8.3,"Adventure, Sci-Fi",PT2H29M
Ikiru,https://www.imdb.com/title/tt0044741/,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,10,1,8.3,Drama,PT2H23M
Reservoir Dogs,https://www.imdb.com/title/tt0105236/,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",10,1,8.3,"Crime, Thriller",PT1H39M
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",10,1,8.3,"Adventure, Biography, Drama",PT3H47M
The Apartment,https://www.imdb.com/title/tt0053604/,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",10,1,8.3,"Comedy, Drama, Romance",PT2H5M
Incendies,https://www.imdb.com/title/tt1255953/,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.,10,1,8.3,"Drama, Mystery, War",PT2H11M
Scarface,https://www.imdb.com/title/tt0086250/,"Miami in the 1980s: a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.",10,1,8.3,"Crime, Drama",PT2H50M
North by Northwest,https://www.imdb.com/title/tt0053125/,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",10,1,8.3,"Action, Adventure, Mystery",PT2H16M
Double Indemnity,https://www.imdb.com/title/tt0036775/,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",10,1,8.3,"Crime, Drama, Film-Noir",PT1H47M
Citizen Kane,https://www.imdb.com/title/tt0033467/,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;",10,1,8.3,"Drama, Mystery",PT1H59M
M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",10,1,8.3,"Crime, Mystery, Thriller",PT1H39M
Oppenheimer,https://www.imdb.com/title/tt15398776/,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",10,1,8.3,"Biography, Drama, History",PT3H
Vertigo,https://www.imdb.com/title/tt0052357/,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",10,1,8.3,"Mystery, Romance, Thriller",PT2H8M
Heat,https://www.imdb.com/title/tt0113277/,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,10,1,8.3,"Action, Crime, Drama",PT2H50M
Full Metal Jacket,https://www.imdb.com/title/tt0093058/,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,10,1,8.2,"Drama, War",PT1H56M
Le fabuleux destin d&apos;Amélie Poulain,https://www.imdb.com/title/tt0211915/,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",10,1,8.3,"Comedy, Romance",PT2H2M
Up,https://www.imdb.com/title/tt1049413/,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",10,1,8.3,"Animation, Adventure, Comedy",PT1H36M
A Clockwork Orange,https://www.imdb.com/title/tt0066921/,Alex DeLarge and his droogs barbarize a decaying near-future.,10,1,8.2,"Crime, Sci-Fi",PT2H16M
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",10,1,8.3,"Crime, Drama",PT2H9M
